Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,num_academia,num_company
1444,DPFPS: Dynamic and Progressive Filter Pruning for Compressing Convolutional Neural Networks from Scratch,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation,University of Chinese Academy of Sciences,Institute of Automation, PeopleAI Inc,Institute of Automation,Institute of Automation,University of Chinese Academy of Sciences,Center for Excellence in Brain Science and Intelligence Technology,,,,,,,,,,,,,9.0,0.0
1445,Improving Adversarial Robustness via Probabilistically Compact Loss with Logit Constraints,Wayne State University,Wayne State University,Wayne State University,Wayne State University,,,,,,,,,,,,,,,,,,,4.0,0.0
1446,Measuring Dependence with Matrix-based Entropy Functional, NEC Laboratories Europ, NEC Laboratories Europ,University of Florida,UiT The Arctic University of Norway,University of Florida,,,,,,,,,,,,,,,,,,3.0,0.0
1447,Plug-and-Play Domain Adaptation for Cross-Subject EEG-based Emotion Recognition,Shanghai Jiao Tong University,University of Washington,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,,4.0,0.0
1448,Fair and Efficient Allocations under Subadditive Valuations,Max Planck Institute for Informatics,University of Illinois Urbana-Champaign,University of Illinois Urbana-Champaign,,,,,,,,,,,,,,,,,,,,3.0,0.0
1449,Neural Analogical Matching,Northwestern University,Northwestern University,IBM Research - Ireland,Northwestern University,,,,,,,,,,,,,,,,,,,4.0,0.0
1450,Gaussian Process Priors for View-Aware Inference,Aalto University,Aalto University," GenMind Ltd., Finlan",Aalto University,,,,,,,,,,,,,,,,,,,3.0,0.0
1451,Estimating Calibrated Individualized Survival Curves with Deep Learning,University of Michigan–Ann Arbor,University of Michigan–Ann Arbor,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1452,Consistency Regularization with High-dimensional Non-adversarial Source-guided Perturbation for Unsupervised Domain Adaptation in Segmentation,Boston University,Boston University,Boston University,,,,,,,,,,,,,,,,,,,,3.0,0.0
1453,GradingNet: Towards Providing Reliable Supervisions for Weakly Supervised Object Detection by Grading the Box Candidates,Beijing Jiaotong University,University of Science and Technology Beijing,Beijing Jiaotong University,University of Science and Technology Beijing,Beijing Jiaotong University,University of Science and Technology Beijing,China Academy of Chinese Medical Sciences,Beijing Jiaotong University,University of Science and Technology Beijing,,,,,,,,,,,,,,8.0,0.0
1454,Asynchronous Teacher Guided Bit-wise Hard Mining for Online Hashing,Harbin Institute of Technology,Alibaba Group (China),Alibaba Group (China),Harbin Institute of Technology,Alibaba Group (China),Alibaba Group (China),,,,,,,,,,,,,,,,,2.0,4.0
1455,Copy That! Editing Sequences by Copying Spans,The University of Texas at Austin,Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),Microsoft Research (United Kingdom),,,,,,,,,,,,,,,,,,,1.0,3.0
1456,Hyperbolic Variational Graph Neural Network for Modeling Dynamic Graphs,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,Florida State University,Beijing University of Posts and Telecommunications,Beihang University,Beijing University of Posts and Telecommunications,University of Illinois at Chicago,,,,,,,,,,,,,,,,7.0,0.0
1457,Deep Verifier Networks: Verification of Deep Discriminative Models with Deep Generative Models,University of Liverpool,Harvard University,Carnegie Mellon University,University of Illinois Urbana-Champaign,University of Liverpool, Salesforce Researc,University of Liverpool,,,,,,,,,,,,,,,,6.0,0.0
1458,Welfare Guarantees in Schelling Segregation,Technical University of Munich,National University of Singapore,University of Giessen,,,,,,,,,,,,,,,,,,,,2.0,0.0
1459,Depth Privileged Object Detection in Indoor Scenes via Deformation Hallucination,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,,,5.0,0.0
1460,Efficient Deep Image Denoising via Class Specific Convolution,Chinese University of Hong Kong, SenseTime Researc, SenseTime Researc, SenseTime Researc,Xi'an Jiaotong University, SenseTime Researc,Shanghai Jiao Tong University,,,,,,,,,,,,,,,,3.0,0.0
1461,Neural Relational Inference with Efficient Message Passing Mechanisms,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,3.0,0.0
1462,Scheduled Sampling in Vision-Language Pretraining with Decoupled Encoder-Decoder Network," JD AI Research, Beijing, Chin"," JD AI Research, Beijing, Chin"," JD AI Research, Beijing, Chin",Sun Yat-sen University," JD AI Research, Beijing, Chin",,,,,,,,,,,,,,,,,,1.0,4.0
1463,Enhanced Regularizers for Attributional Robustness,Indian Institute of Technology Hyderabad,Indian Institute of Technology Hyderabad,Indian Institute of Technology Hyderabad,,,,,,,,,,,,,,,,,,,,3.0,0.0
1464,Learning to Check Contract Inconsistencies,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,China Mobile (China),China Mobile (China),,,,,,,,,,,,,,,6.0,2.0
1465,Reinforcement Learning with a Disentangled Universal Value Function for Item Recommendation," Fuxi AI Lab, NetEase Inc., Hangzhou, Chin"," Fuxi AI Lab, NetEase Inc., Hangzhou, Chin"," Fuxi AI Lab, NetEase Inc., Hangzhou, Chin"," Fuxi AI Lab, NetEase Inc., Hangzhou, Chin"," Fuxi AI Lab, NetEase Inc., Hangzhou, Chin"," Fuxi AI Lab, NetEase Inc., Hangzhou, Chin",Sun Yat-sen University,Tsinghua University,,,,,,,,,,,,,,,2.0,0.0
1466,Ethical Dilemmas in Strategic Games,King's College - Pennsylvania,Scripps College,,,,,,,,,,,,,,,,,,,,,1.0,0.0
1467,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks,"Google Research -Brain Team, Mountain View, CA 9404","Google Research -Brain Team, Mountain View, CA 9404",,,,,,,,,,,,,,,,,,,,,2.0,0.0
1468,Deep Style Transfer for Line Drawings,Shenzhen University,Shenzhen University,Shenzhen University,Shenzhen University,,,,,,,,,,,,,,,,,,,4.0,0.0
1469,Semi-Supervised Sequence Classification through Change Point Detection,Georgia Institute of Technology,Georgia Institute of Technology,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1470,HR-Depth: High Resolution Self-Supervised Monocular Depth Estimation,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,Zhejiang University,St Petersburg University,,,,,,,,,,,,,,,8.0,0.0
1471,Graph Heterogeneous Multi-Relational Recommendation,Allen Institute for Artificial Intelligence,Tsinghua University,Allen Institute for Artificial Intelligence,Tsinghua University,Allen Institute for Artificial Intelligence,Tsinghua University, Huawei Noah's Ark La, Huawei Noah's Ark La,Allen Institute for Artificial Intelligence,Tsinghua University,Allen Institute for Artificial Intelligence,Tsinghua University,,,,,,,,,,,10.0,0.0
1472,Unchain the Search Space with Hierarchical Differentiable Architecture Search,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1473,Few-Shot Class-Incremental Learning via Relation Knowledge Distillation,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,6.0,0.0
1474,Weakly Supervised Temporal Action Localization Through Learning Explicit Subspaces for Action and Context,Xi'an Jiaotong University,Xi'an Jiaotong University,University of Illinois at Chicago,"University at Buffalo, State University of New York",Xi'an Jiaotong University, Wormpex AI Researc,,,,,,,,,,,,,,,,,5.0,0.0
1475,Improving Image Captioning by Leveraging Intra-and Inter-layer Global Representation in Transformer Network,Xiamen University,Xiamen University,Xiamen University,Inception Institute of Artificial Intelligence,Xiamen University,Xiamen University,Tencent (China),Tsinghua University,Xiamen University,Inception Institute of Artificial Intelligence,,,,,,,,,,,,,9.0,1.0
1476,The Influence of Memory in Multi-Agent Consensus,King's College London,University of Oxford,Universidade Federal de São Paulo,Universidade Federal de São Paulo,King's College London,,,,,,,,,,,,,,,,,,5.0,0.0
1477,Revisiting Iterative Back-Translation from the Perspective of Compositional Generalization,Peking University,Beihang University,Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),Microsoft Research Asia (China),,,,,,,,,,,,,,,,2.0,5.0
1478,A Neural Group-wise Sentiment Analysis Model with Data Sparsity Awareness," School of Computer Science and Engineering, Key Laboratory of Computer Network and Information Integration",Southeast University," School of Computer Science and Engineering, Key Laboratory of Computer Network and Information Integration",Southeast University," School of Computer Science and Engineering, Key Laboratory of Computer Network and Information Integration",Southeast University,University of Warwick,,,,,,,,,,,,,,,,4.0,0.0
1479,ePointDA: An End-to-End Simulation-to-Real Domain Adaptation Framework for LiDAR Point Cloud Segmentation,"University of California, Berkeley","University of California, Berkeley",Meta (United States),Tsinghua University, Didi Chuxin,"University of California, Berkeley","University of California, Berkeley","University of California, San Diego",,,,,,,,,,,,,,,6.0,1.0
1480,Stylized Dialogue Response Generation Using Stylized Unpaired Texts,Tsinghua University," Samsung Research China -Beijing (SRC-B), Beijing, China",Tsinghua University," Fuxi AI Lab, NetEase Inc., Hangzhou, China"," Fuxi AI Lab, NetEase Inc., Hangzhou, China"," Fuxi AI Lab, NetEase Inc., Hangzhou, China",Tsinghua University,,,,,,,,,,,,,,,,3.0,3.0
1481,Learning Flexibly Distributional Representation for Low-quality 3D Face Recognition,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,Xi'an Jiaotong University,,,,,,,,,,,,,,,,,,,4.0,0.0
1482,Reaching Individually Stable Coalition Structures in Hedonic Games,Technical University of Munich,Technical University of Munich,CentraleSupélec,University of Paris-Saclay,,,,,,,,,,,,,,,,,,,4.0,0.0
1483,Minimax Regret Optimisation for Robust Planning in Uncertain Markov Decision Processes,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,3.0,0.0
1484,Explanation Consistency Training: Facilitating Consistency-Based Semi-Supervised Learning with Interpretability,Nanjing University," 4Paradigm Inc., Beijing, Chin",Nanjing University,,,,,,,,,,,,,,,,,,,,2.0,1.0
1485,User Driven Model Adjustment via Boolean Rule Explanations,IBM Research - Ireland,IBM Research - Ireland,IBM Research - Ireland,IBM Research - Ireland,,,,,,,,,,,,,,,,,,,4.0,0.0
1486,Symmetric Component Caching for Model Counting on Combinatorial Instances,Indian Institute of Technology Kanpur,National University of Singapore,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1487,Testing Independence Between Linear Combinations for Causal Discovery,Guangdong University of Petrochemical Technology,Carnegie Mellon University,Fudan University,Tongji University,Zhejiang Lab,,,,,,,,,,,,,,,,,,5.0,0.0
1488,Exploring the Vulnerability of Deep Neural Networks: A Study of Parameter Corruption,Peking University,Peking University, Equal Contribution,Peking University, Equal Contribution,Peking University,Peking University, Huawei Noah's Ark La,,,,,,,,,,,,,,,5.0,0.0
1489,Capturing Uncertainty in Unsupervised GPS Trajectory Segmentation Using Bayesian Deep Learning,Southern University of Science and Technology,University of Technology Sydney,Southern University of Science and Technology,University of Technology Sydney,,,,,,,,,,,,,,,,,,,4.0,0.0
1490,One SPRING to Rule Them Both: Symmetric AMR Semantic Parsing and Generation without a Complex Pipeline,Sapienza University of Rome,Sapienza University of Rome,Sapienza University of Rome,,,,,,,,,,,,,,,,,,,,3.0,0.0
1491,Towards Fully Automated Manga Translation, Mantra Inc, Mantra Inc,The University of Tokyo,The University of Tokyo,,,,,,,,,,,,,,,,,,,2.0,0.0
1492,Persistence of Anti-vaccine Sentiment in Social Networks Through Strategic Interactions," Biocomplexity Institute, University of Virgini"," Department of Computer Science, University of Virgini"," Biocomplexity Institute, University of Virgini"," Biocomplexity Institute, University of Virgini"," Department of Computer Science, University of Virgini"," Biocomplexity Institute, University of Virgini"," Department of Public Health Sciences, University of Virgini"," Biocomplexity Institute, University of Virgini"," Department of Computer Science, University of Virgini",,,,,,,,,,,,,,9.0,0.0
1493,"Positions, Channels, and Layers: Fully Generalized Non-Local Network for Singer Identification","Institute of Information Science, Academia Sinica","Institute of Information Science, Academia Sinica","Institute of Information Science, Academia Sinica",,,,,,,,,,,,,,,,,,,,3.0,0.0
1494,Benchmarking Knowledge-Enhanced Commonsense Question Answering via Knowledge-to-Text Transformation, Chinese Information Processing Laboratory,University of Chinese Academy of Sciences, Chinese Information Processing Laboratory,Chinese Academy of Sciences, Chinese Information Processing Laboratory,Chinese Academy of Sciences, Chinese Information Processing Laboratory,Chinese Academy of Sciences,,,,,,,,,,,,,,,4.0,0.0
1495,Model Uncertainty Guides Visual Object Tracking *,Alibaba Group (China),Institute of Optics and Electronics,University of Chinese Academy of Sciences,University of Kaiserslautern,University of Kaiserslautern,Institute of Optics and Electronics,University of Chinese Academy of Sciences,Alibaba Group (China),Institute of Optics and Electronics,University of Kaiserslautern,,,,,,,,,,,,,8.0,2.0
1496,Turbocharging Treewidth-Bounded Bayesian Network Structure Learning,TU Wien,TU Wien,,,,,,,,,,,,,,,,,,,,,2.0,0.0
1497,Few-Shot Lifelong Learning,Indian Institute of Technology Kanpur," Independent Researcher, Indi",Indian Institute of Technology Kanpur,,,,,,,,,,,,,,,,,,,,3.0,0.0
1498,Train a One-Million-Way Instance Classifier for Unsupervised Visual Representation Learning,Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),Alibaba Group (United States),,,,,,,,,,,,,,,,,,0.0,5.0
1499,On-the-fly Synthesis for LTL over Finite Traces,East China Normal University,East China Normal University,Sapienza University of Rome," Shanghai Trusted Industrial Control Platform Co., Ltd",East China Normal University,East China Normal University,Rice University,,,,,,,,,,,,,,,,5.0,1.0
