Unnamed: 0,title,inst1,inst2,inst3,inst4,inst5,inst6,inst7,inst8,inst9,inst10,inst11,inst12,inst13,inst14,inst15,inst16,inst17,inst18,inst19,inst20,inst21,inst22,inst23,inst24,inst25,num_academia,num_company
367,Towards Query-Efficient Black-Box Adversary with Zeroth-Order Natural Gradient Descent,Northeastern University,IBM Research - Thomas J. Watson Research Center,Northeastern University,Northeastern University,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
368,Multi-Spectral Vehicle Re-Identification: A Challenge,Anhui University,Anhui University,Anhui University,Anhui University,Anhui University,University of Science and Technology of China,,,,,,,,,,,,,,,,,,,,6.0,0.0
369,Scalable Variational Bayesian Kernel Selection for Sparse Gaussian Process Regression,National University of Singapore,Shenzhen University,National University of Singapore,National University of Singapore,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
370,Reinforcing Neural Network Stability with Attractor Dynamics,Shanghai Jiao Tong University,Queen's University Belfast,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Shanghai Jiao Tong University,Queen's University Belfast,Shanghai Jiao Tong University,Shanghai Key Laboratory of Trustworthy Computing,,,,,,,,,,,,,,,,,,8.0,0.0
371,Complementary-View Multiple Human Tracking,Tianjin University,State Administration of Cultural Heritage,Tianjin University,State Administration of Cultural Heritage,Tianjin University,State Administration of Cultural Heritage,Tianjin University,Tianjin University,State Administration of Cultural Heritage,Tianjin University,State Administration of Cultural Heritage,Tianjin University,State Administration of Cultural Heritage,University of South Carolina,,,,,,,,,,,,14.0,0.0
372,Embedding Compression with Isotropic Iterative Quantization,"Rutgers, The State University of New Jersey",IBM Research - Haifa,Northeastern University,Syracuse University,"Rutgers, The State University of New Jersey",,,,,,,,,,,,,,,,,,,,,5.0,0.0
373,Pairwise Learning with Differential Privacy Guarantees," Department of Computer Science, University of Virgini","University at Buffalo, State University of New York","University at Buffalo, State University of New York","University at Buffalo, State University of New York"," Department of Computer Science, University of Virgini",,,,,,,,,,,,,,,,,,,,,3.0,0.0
374,"Localize, Assemble, and Predicate: Contextual Object Proposal Embedding for Visual Relation Detection",Peking University,Peking University,Peking University,Peking University,Peking University,,,,,,,,,,,,,,,,,,,,,5.0,0.0
375,Clarity: Data-Driven Automatic Assessment of Product Competitiveness,IBM (United States),IBM (United States),IBM (United States),IBM (United States),IBM (United States),IBM (United States),,,,,,,,,,,,,,,,,,,,0.0,6.0
376,CSPN++: Learning Context and Resource Aware Convolutional Spatial Propagation Networks for Depth Completion,"Robotics and Auto-driving Lab (RAL), Baidu Researc","Robotics and Auto-driving Lab (RAL), Baidu Researc","Robotics and Auto-driving Lab (RAL), Baidu Researc","Robotics and Auto-driving Lab (RAL), Baidu Researc",,,,,,,,,,,,,,,,,,,,,,4.0,0.0
377,AUC Optimization with a Reject Option,Nanjing University,Nanjing University,Nanjing University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
378,Invariant Representations through Adversarial Forgetting,University of Southern California,University of Southern California,University of Southern California,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,,5.0,0.0
379,P-SIF: Document Embeddings Using Partition Averaging,University of Utah," Microsoft Research Lab, Bangalore",Engineers India (India),University of Utah," Microsoft Research Lab, Bangalore",Indian Institute of Technology Kanpur,Indian Institute of Science Bangalore,,,,,,,,,,,,,,,,,,,4.0,0.0
380,Effective Data Augmentation with Multi-Domain Learning GANs, NTT Software Innovation Cente, NTT Software Innovation Cente,Keio University,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
381,Harmonious Coexistence of Structured Weight Pruning and Ternarization for Deep Neural Networks,Arizona State University,Arizona State University,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
382,"M3ER: Multiplicative Multimodal Emotion Recognition using Facial, Textual, and Speech Cues","University of Maryland, College Park","University of Maryland, College Park","University of Maryland, College Park","University of Maryland, College Park","University of Maryland, College Park",,,,,,,,,,,,,,,,,,,,,5.0,0.0
383,Reduction and Local Search for Weighted Graph Coloring Problem,Northeast Normal University,Jilin University,Chinese Academy of Sciences,Northeast Normal University,Jilin University,Jilin University,Northeast Normal University,Jilin University,,,,,,,,,,,,,,,,,,8.0,0.0
384,An Ordinal Data Clustering Algorithm with Automated Distance Learning,Hong Kong Baptist University,Hong Kong Baptist University,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
385,Hyperbolic Interaction Model for Hierarchical Multi-Label Classification,Beijing Jiaotong University,"{18120345, 18120367, 17112079, 18120340",,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
386,Feature Deformation Meta-Networks in Image Captioning of Novel Objects,Fudan University,Fudan University,Fudan University, Tencent AI La,Fudan University,Fudan University,Fudan University,,,,,,,,,,,,,,,,,,,6.0,0.0
387,Monte-Carlo Tree Search in Continuous Action Spaces with Value Gradients,Korea Advanced Institute of Science and Technology," Mila, Quebec AI Institute, Montreal, Canad",McGill University,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,,,,,,,,,,,,,,,,,,,,4.0,0.0
388,A Novel Model for Imbalanced Data Classification,Sun Yat-sen University," Guangdong Key Laboratory of Big Data Analysis and Processing, Guangzhou, Chin",Sun Yat-sen University," Guangdong Key Laboratory of Big Data Analysis and Processing, Guangzhou, Chin",University of Auckland,Hunan University,Hunan University,Sun Yat-sen University," Guangdong Key Laboratory of Big Data Analysis and Processing, Guangzhou, Chin"," National Engineering Laboratory for Big Data Analysis and Applications, Beijing, Chin",,,,,,,,,,,,,,,,6.0,0.0
389,CatGAN: Category-Aware Generative Adversarial Networks with Hierarchical Evolutionary Learning for Category Text Generation,Sun Yat-sen University,Sun Yat-sen University,Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
390,Knowledge Integration Networks for Action Recognition,MSIGHT Technologies (China)," Shenzhen Malong Artificial Intelligence Research Center, Shenzhen, Chin",MSIGHT Technologies (China)," Shenzhen Malong Artificial Intelligence Research Center, Shenzhen, Chin",Nanjing University,MSIGHT Technologies (China)," Shenzhen Malong Artificial Intelligence Research Center, Shenzhen, Chin",MSIGHT Technologies (China)," Shenzhen Malong Artificial Intelligence Research Center, Shenzhen, Chin",,,,,,,,,,,,,,,,,1.0,4.0
391,GraLSP: Graph Neural Networks with Local Structural Patterns,Hong Kong University of Science and Technology,Peking University,Beijing University of Posts and Telecommunications,Peking University,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
392,Kriging Convolutional Networks,Tufts University,Tufts University,Tufts University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
393,Neural Approximate Dynamic Programming for On-Demand Ride-Pooling,Singapore Management University,Singapore Management University,Singapore Management University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
394,Reinforcement Learning of Risk-Constrained Policies in Markov Decision Processes,Masaryk University,Institute of Science and Technology Austria,Masaryk University,Masaryk University,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
395,Generative Attention Networks for Multi-Agent Behavioral Modeling,University of Southern California," AI Labs, Didi Chuxing, Beijing, Chin",Peking University," AI Labs, Didi Chuxing, Beijing, Chin",University of Southern California,,,,,,,,,,,,,,,,,,,,,3.0,0.0
396,On the Anatomy of MCMC-Based Maximum Likelihood Learning of Energy-Based Models,"UCLA Department of Statistics 8117 Math Sciences Bldg. Los Angeles, CA 90095-155","UCLA Department of Statistics 8117 Math Sciences Bldg. Los Angeles, CA 90095-155","UCLA Department of Statistics 8117 Math Sciences Bldg. Los Angeles, CA 90095-155","UCLA Department of Statistics 8117 Math Sciences Bldg. Los Angeles, CA 90095-155","UCLA Department of Statistics 8117 Math Sciences Bldg. Los Angeles, CA 90095-155",,,,,,,,,,,,,,,,,,,,,5.0,0.0
397,TextScanner: Reading Characters in Order for Robust Scene Text Recognition,Huazhong University of Science and Technology,Beijing Institute of Technology,Huazhong University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
398,"Be Relevant, Non-Redundant, and Timely: Deep Reinforcement Learning for Real-Time Event Summarization",Shenzhen Institutes of Advanced Technology,Shenzhen Institutes of Advanced Technology,Alibaba Group (China),Zhejiang University,Peking University,Connecticut Department of Energy and Environmental Protection,,,,,,,,,,,,,,,,,,,,5.0,1.0
399,History-Adaption Knowledge Incorporation Mechanism for Multi-Turn Dialogue System,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,Institute of Information Engineering,University of Chinese Academy of Sciences,,,,,,,,,,,,,,,,10.0,0.0
400,Learning to Reason: Leveraging Neural Networks for Approximate DNF Counting,University of Oxford,University of Oxford,University of Oxford,University of Oxford,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
401,Deep Attentive Ranking Networks for Learning to Order Sentences,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,,,,,,,,,,,,,,,,,,,,,,4.0,0.0
402,FASTER Recurrent Networks for Efficient Video Classification,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,University of Technology Sydney,,,,,,,,,,,,,,,,,,,,6.0,0.0
403,Structured Sparsification of Gated Recurrent Neural Networks,National Research University Higher School of Economics,National Research University Higher School of Economics,National Research University Higher School of Economics,National Research University Higher School of Economics,Lomonosov Moscow State University,,,,,,,,,,,,,,,,,,,,,5.0,0.0
404,Diversified Interactive Recommendation with Implicit Feedback,Nanyang Technological University, Joint NTU-UBC Research Centre of Excellenc, Joint NTU-UBC Research Centre of Excellenc,University of Science and Technology of China, Joint NTU-UBC Research Centre of Excellenc,Nanyang Technological University,University of Science and Technology of China,Alibaba Group (China),Alibaba Group (China),Nanyang Technological University,,,,,,,,,,,,,,,,5.0,2.0
405,Revisiting Probability Distribution Assumptions for Information Theoretic Feature Selection,RMIT University,University of Melbourne,University of Melbourne,RMIT University,RMIT University,,,,,,,,,,,,,,,,,,,,,5.0,0.0
406,Modality to Modality Translation: An Adversarial Representation Learning and Graph Fusion Network for Multimodal Fusion,National Sun Yat-sen University,National Sun Yat-sen University,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
407,Weakly Supervised Learning Meets Ride-Sharing User Experience Enhancement,Nanjing University,"National Center for AIDS/STD Control and Prevention,China CDC","National Center for AIDS/STD Control and Prevention,China CDC",Nanjing University,"National Center for AIDS/STD Control and Prevention,China CDC","National Center for AIDS/STD Control and Prevention,China CDC",,,,,,,,,,,,,,,,,,,,6.0,0.0
408,Integrating Deep Learning with Logic Fusion for Information Extraction,Nanyang Technological University,Nanyang Technological University,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
409,Electing Successive Committees: Complexity and Algorithms,Technical University of Berlin,Technical University of Berlin,Technical University of Berlin,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
410,Idle Time Optimization for Target Assignment and Path Finding in Sortation Centers,Cainiao Smart Logistics Networ,Cainiao Smart Logistics Networ,Simon Fraser University,University of Southern California,University of Southern California,,,,,,,,,,,,,,,,,,,,,3.0,0.0
411,Adaptive Two-Dimensional Embedded Image Clustering,Shandong Normal University,UNSW Sydney,UNSW Sydney,He University,UNSW Sydney,He University,Shandong Normal University,,,,,,,,,,,,,,,,,,,7.0,0.0
412,On Identifying Hashtags in Disaster Twitter Data,University of Illinois at Chicago,University of Illinois at Chicago,Kansas State University,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0
413,Shapley Q-Value: A Local Reward Approach to Solve Global Reward Games,Imperial College London,Imperial College London," Laiye Network Technology Co.Ltd., Chin",Imperial College London,Imperial College London,,,,,,,,,,,,,,,,,,,,,3.0,1.0
414,Deep Embedded Complementary and Interactive Information for Multi-View Classification,Northwestern Polytechnical University,Nanjing University,National University of Defense Technology,Northwestern Polytechnical University,Xidian University,Kwangwoon University,Northwestern Polytechnical University,,,,,,,,,,,,,,,,,,,7.0,0.0
415,A Simultaneous Discover-Identify Approach to Causal Inference in Linear Models,"University of California, Los Angeles"," Brex, San Francisco, California, US","University of California, Los Angeles",,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
416,RoboCoDraw: Robotic Avatar Drawing with GAN-Based Style Transfer and Time-Efficient Path Optimization,Technical University of Darmstadt,Technical University of Darmstadt,Technical University of Darmstadt,Technical University of Darmstadt,Technical University of Darmstadt,Institute of High Performance Computing,Technical University of Darmstadt,Institute of High Performance Computing,Technical University of Darmstadt," Institute of Information Research, A*STAR 1 Fusionopolis Way, Connexis North Tower, 138632, Singapor",,,,,,,,,,,,,,,,7.0,0.0
417,Neural Snowball for Few-Shot Relation Learning,Tsinghua University,Tsinghua University,Beijing Information Science & Technology University,Tsinghua University,Tsinghua University,Beijing Information Science & Technology University,Tencent (China),Tsinghua University,Tsinghua University,Beijing Information Science & Technology University,Tencent (China),Tsinghua University,Tsinghua University,Beijing Information Science & Technology University,Tencent (China),,,,,,,,,,,12.0,3.0
